品編,品名,處方組成,註冊編號
N-035,附桂理中丸,黨參（9克）﹑白朮（9克）﹑乾薑（9克）﹑炙甘草（9克）﹑肉桂（9克）﹑製附子（9克）,
N-036,青蒿鱉甲湯,青蒿（6克）﹑鱉甲（15克）﹑地黃（6克）﹑知母（12克）﹑牡丹皮（9克）,
N-037,保產無憂方,"生薑（9克）﹑當歸（4.5克）﹑川芎（4.5克）﹑菟絲子（4.5克）﹑艾葉（3克）﹑枳殼（3克）﹑炙黃芪（3克）﹑荊
芥炭（3克）﹑羌活（3克）﹑厚樸（3克）﹑川貝母（3克）﹑白芍（3克）﹑甘草（3克）",
N-038,厚樸溫中湯,"厚樸（30克）﹑陳皮（30克）﹑炙甘草（15克）﹑茯苓（15克）﹑草豆蔻（15克）﹑木香（15克）﹑乾薑（3克）﹑
生薑（3克）",
N-039,洗肝明目散,"當歸尾（6克）﹑川芎（6克）﹑赤芍（6克）﹑生地黃（6克）﹑黃連（6克）﹑黃芩（6克）﹑山梔子（6克）﹑石膏
（6克）﹑連翹（6克）﹑防風（6克）﹑荊芥（6克）﹑薄荷葉（6克）﹑杭菊花（6克）﹑刺疾藜（6克）﹑決明子
（6克）﹑羌活（6克）﹑蔓荊子（6克）﹑桔梗（6克）﹑生甘草（6克）",
N-040,胃苓湯,"澤瀉（15克）﹑豬苓（9克）﹑白朮（9克）﹑茯苓（9克）﹑桂枝（3克）﹑蒼朮（12克）﹑厚樸（9克）﹑陳皮（6
克）﹑生薑（6克）﹑大棗（6克）﹑生甘草（3克）",
N-041,香薷飲,香薷（15克）﹑白扁豆（2.15克）﹑厚樸（2.15克）,
N-042,桂枝加龍牡湯,桂枝（9克）﹑赤芍（9克）﹑炙甘草（6克）﹑生薑（9克）﹑大棗（9克）﹑龍骨（9克）﹑牡蠣（9克）,
N-043,桑杏湯,桑葉（6克）﹑杏仁（9克）﹑北沙參（12克）﹑浙貝母（6克）﹑淡豆豉（6克）﹑山梔子（6克）﹑梨皮（6克）,
N-044,柴胡桂枝湯,"柴胡（15克）﹑黃芩（9克）﹑法半夏（9克）﹑生薑（9克）﹑黨參（6克）﹑炙甘草（6克）﹑大棗（6克）﹑桂枝
（9克）﹑白芍（9克）",
N-045,桃核承氣湯,桃仁（15克）﹑大黃（12克）﹑桂枝（6克）﹑炙甘草（6克）﹑元明粉（6克）,
N-046,泰山盤石散,"黨參（3克）﹑黃芪（3克）﹑白朮（6克）﹑炙甘草（1.5克）﹑當歸（3克）﹑川芎（2.4克）﹑白芍（2.4克）﹑熟地
黃（2.4克）﹑續斷（3克）﹑黃芩（3克）﹑砂仁（1.5克）",
N-047,烏梅丸,"烏梅（9克）﹑黃連（9克）﹑細辛（3克）﹑乾薑（6克）﹑當歸（2.4克）﹑熟附子（3克）﹑川花椒（2.4克）﹑桂
枝（3克）﹑黨參（3克）﹑黃柏（3克）",
N-048,烏藥湯,烏藥（2.15克）﹑香附子（6克）﹑當歸（3克）﹑木香（1.5克）﹑炙甘草（1.5克）,
N-049,益氣聰明湯,"黃芪（1.215克）﹑黨參（1.215克）﹑升麻（7.15克）﹑葛根（9克）﹑蔓荊子（4.5克）﹑白芍（3克）﹑黃柏（3
克）﹑炙甘草（1.5克）",
N-050,茵陳五苓散,茵陳蒿（30克）﹑澤瀉（15克）﹑豬苓（9克）﹑白朮（9克）﹑茯苓（9克）﹑桂枝（3克）,
N-051,參蘇飲,"黨參（9克）﹑紫蘇葉（9克）﹑葛根（9克）﹑半夏（9克）﹑前胡（9克）﹑茯苓（9克）﹑木香（6克）﹑枳殼（6
克）﹑桔梗（6克）﹑陳皮（6克）﹑炙甘草（6克）",
N-052,清上防風湯,"川芎（6克）﹑黃芩（6克）﹑連翹（2.15克）﹑桔梗（2.15克）﹑防風（9克）﹑山梔子（4.5克）﹑黃連（4.5克）﹑
枳殼（4.5克）﹑荊芥（4.5克）﹑生甘草（3克）﹑薄荷葉（4.5克）﹑白芷（2.15克）",
N-053,清肺飲,"柴胡（6克）﹑杏仁（3克）﹑桔梗（3克）﹑赤芍（3克）﹑荊芥（3克）﹑枳殼（3克）﹑桑白皮（3克）﹑五味子
（3克）﹑麻黃（3克）﹑半夏（3克）﹑旋覆花（1.5克）﹑黨參（1.5克）﹑生甘草（4.5克）﹑生薑（3克）﹑薄荷葉
（3克）",
N-054,清胃散,生地黃（3克）﹑當歸（3克）﹑牡丹皮（6克）﹑黃連（6克）﹑升麻（12克）,
N-055,清氣化痰丸,"陳皮（6克）﹑杏仁（6克）﹑枳實（6克）﹑黃芩（6克）﹑括蔞仁（6克）﹑茯苓（6克）﹑膽南星（9克）﹑法半夏
（9克）",
